# H4_MM(GMSR) EOS. Reference paper: G.Grams, J.Margueron, R.Somasundaram, and S.Reddy, EPJA (2022) 58:56. https://doi.org/10.1140/epja/s10050-022-00706-w 
# Outer-Inner Crust Transition :
# nB_inner =   2.5282142292259004E-004 fm-3, rho =   7.1798191275380834      MeV/fm3, P =   5.4763060342489047E-004 MeV/fm3,  mu_cl_n =   2.6651916429173218E-004 MeV
# Crust-Core Transition:	
# nB_cc =   9.0609997736513612E-002 fm-3. rho =   18.131463559875652      MeV/fm3, P =  0.47616516763123967      MeV/fm3,  mu_cl_n_ =   9.0609997736513612E-002 MeV
#   nB(fm-3),        Acl,         Zcl,          ncl (fm-3),        Ye,        ng (fm-3),     V_WS (fm^3),  E/A-m_n (MeV),  P (MeV/fm^3),  mu_cl_n (MeV),     mu_cl_p (MeV)  
     0.1695E-06     0.6146E+02     0.2712E+02     0.1781E+00     0.4412E+00     0.0000E+00     0.3626E+09    -0.8370E+01     0.4638E-07    -0.8452E+01    -0.9756E+01
     0.1717E-06     0.6147E+02     0.2712E+02     0.1781E+00     0.4412E+00     0.0000E+00     0.3579E+09    -0.8366E+01     0.4721E-07    -0.8448E+01    -0.9762E+01
     0.1740E-06     0.6149E+02     0.2712E+02     0.1781E+00     0.4411E+00     0.0000E+00     0.3534E+09    -0.8363E+01     0.4805E-07    -0.8443E+01    -0.9768E+01
     0.1763E-06     0.6151E+02     0.2713E+02     0.1781E+00     0.4410E+00     0.0000E+00     0.3488E+09    -0.8359E+01     0.4891E-07    -0.8438E+01    -0.9775E+01
     0.1787E-06     0.6153E+02     0.2713E+02     0.1781E+00     0.4410E+00     0.0000E+00     0.3444E+09    -0.8356E+01     0.4978E-07    -0.8434E+01    -0.9781E+01
     0.1810E-06     0.6154E+02     0.2713E+02     0.1781E+00     0.4409E+00     0.0000E+00     0.3399E+09    -0.8353E+01     0.5067E-07    -0.8429E+01    -0.9788E+01
     0.1834E-06     0.6156E+02     0.2714E+02     0.1781E+00     0.4408E+00     0.0000E+00     0.3356E+09    -0.8349E+01     0.5157E-07    -0.8424E+01    -0.9794E+01
     0.1859E-06     0.6158E+02     0.2714E+02     0.1781E+00     0.4408E+00     0.0000E+00     0.3313E+09    -0.8346E+01     0.5249E-07    -0.8420E+01    -0.9800E+01
     0.1884E-06     0.6160E+02     0.2715E+02     0.1781E+00     0.4407E+00     0.0000E+00     0.3270E+09    -0.8342E+01     0.5343E-07    -0.8415E+01    -0.9807E+01
     0.1909E-06     0.6162E+02     0.2715E+02     0.1781E+00     0.4406E+00     0.0000E+00     0.3228E+09    -0.8339E+01     0.5438E-07    -0.8410E+01    -0.9813E+01
     0.1934E-06     0.6163E+02     0.2715E+02     0.1781E+00     0.4406E+00     0.0000E+00     0.3187E+09    -0.8335E+01     0.5535E-07    -0.8405E+01    -0.9820E+01
     0.1960E-06     0.6165E+02     0.2716E+02     0.1781E+00     0.4405E+00     0.0000E+00     0.3146E+09    -0.8332E+01     0.5633E-07    -0.8400E+01    -0.9826E+01
     0.1986E-06     0.6167E+02     0.2716E+02     0.1781E+00     0.4404E+00     0.0000E+00     0.3106E+09    -0.8328E+01     0.5734E-07    -0.8396E+01    -0.9833E+01
     0.2012E-06     0.6169E+02     0.2717E+02     0.1781E+00     0.4404E+00     0.0000E+00     0.3066E+09    -0.8324E+01     0.5836E-07    -0.8391E+01    -0.9840E+01
     0.2039E-06     0.6171E+02     0.2717E+02     0.1781E+00     0.4403E+00     0.0000E+00     0.3027E+09    -0.8321E+01     0.5940E-07    -0.8386E+01    -0.9846E+01
     0.2066E-06     0.6173E+02     0.2717E+02     0.1781E+00     0.4402E+00     0.0000E+00     0.2988E+09    -0.8317E+01     0.6045E-07    -0.8381E+01    -0.9853E+01
     0.2093E-06     0.6175E+02     0.2718E+02     0.1781E+00     0.4402E+00     0.0000E+00     0.2950E+09    -0.8314E+01     0.6153E-07    -0.8376E+01    -0.9860E+01
     0.2121E-06     0.6176E+02     0.2718E+02     0.1781E+00     0.4401E+00     0.0000E+00     0.2912E+09    -0.8310E+01     0.6262E-07    -0.8371E+01    -0.9866E+01
     0.2149E-06     0.6178E+02     0.2719E+02     0.1781E+00     0.4400E+00     0.0000E+00     0.2875E+09    -0.8306E+01     0.6374E-07    -0.8366E+01    -0.9873E+01
     0.2178E-06     0.6180E+02     0.2719E+02     0.1781E+00     0.4400E+00     0.0000E+00     0.2838E+09    -0.8303E+01     0.6487E-07    -0.8361E+01    -0.9880E+01
     0.2207E-06     0.6182E+02     0.2719E+02     0.1781E+00     0.4399E+00     0.0000E+00     0.2802E+09    -0.8299E+01     0.6603E-07    -0.8356E+01    -0.9887E+01
     0.2236E-06     0.6184E+02     0.2720E+02     0.1780E+00     0.4398E+00     0.0000E+00     0.2766E+09    -0.8295E+01     0.6720E-07    -0.8351E+01    -0.9894E+01
     0.2266E-06     0.6186E+02     0.2720E+02     0.1780E+00     0.4397E+00     0.0000E+00     0.2730E+09    -0.8292E+01     0.6839E-07    -0.8346E+01    -0.9901E+01
     0.2296E-06     0.6188E+02     0.2721E+02     0.1780E+00     0.4397E+00     0.0000E+00     0.2695E+09    -0.8288E+01     0.6961E-07    -0.8341E+01    -0.9907E+01
     0.2326E-06     0.6190E+02     0.2721E+02     0.1780E+00     0.4396E+00     0.0000E+00     0.2661E+09    -0.8284E+01     0.7085E-07    -0.8336E+01    -0.9914E+01
     0.2357E-06     0.6192E+02     0.2721E+02     0.1780E+00     0.4395E+00     0.0000E+00     0.2627E+09    -0.8280E+01     0.7211E-07    -0.8331E+01    -0.9921E+01
     0.2388E-06     0.6194E+02     0.2722E+02     0.1780E+00     0.4395E+00     0.0000E+00     0.2593E+09    -0.8277E+01     0.7339E-07    -0.8326E+01    -0.9928E+01
     0.2420E-06     0.6196E+02     0.2722E+02     0.1780E+00     0.4394E+00     0.0000E+00     0.2560E+09    -0.8273E+01     0.7469E-07    -0.8320E+01    -0.9935E+01
     0.2452E-06     0.6198E+02     0.2723E+02     0.1780E+00     0.4393E+00     0.0000E+00     0.2527E+09    -0.8269E+01     0.7602E-07    -0.8315E+01    -0.9943E+01
     0.2485E-06     0.6200E+02     0.2723E+02     0.1780E+00     0.4392E+00     0.0000E+00     0.2495E+09    -0.8265E+01     0.7737E-07    -0.8310E+01    -0.9950E+01
     0.2518E-06     0.6202E+02     0.2724E+02     0.1780E+00     0.4392E+00     0.0000E+00     0.2463E+09    -0.8261E+01     0.7874E-07    -0.8305E+01    -0.9957E+01
     0.2551E-06     0.6204E+02     0.2724E+02     0.1780E+00     0.4391E+00     0.0000E+00     0.2432E+09    -0.8257E+01     0.8014E-07    -0.8299E+01    -0.9964E+01
     0.2585E-06     0.6206E+02     0.2724E+02     0.1780E+00     0.4390E+00     0.0000E+00     0.2401E+09    -0.8253E+01     0.8156E-07    -0.8294E+01    -0.9971E+01
     0.2619E-06     0.6208E+02     0.2725E+02     0.1780E+00     0.4389E+00     0.0000E+00     0.2370E+09    -0.8250E+01     0.8301E-07    -0.8289E+01    -0.9978E+01
     0.2654E-06     0.6210E+02     0.2725E+02     0.1780E+00     0.4389E+00     0.0000E+00     0.2340E+09    -0.8246E+01     0.8448E-07    -0.8284E+01    -0.9986E+01
     0.2689E-06     0.6212E+02     0.2726E+02     0.1780E+00     0.4388E+00     0.0000E+00     0.2310E+09    -0.8242E+01     0.8598E-07    -0.8278E+01    -0.9993E+01
     0.2725E-06     0.6214E+02     0.2726E+02     0.1780E+00     0.4387E+00     0.0000E+00     0.2280E+09    -0.8238E+01     0.8750E-07    -0.8273E+01    -0.1000E+02
     0.2761E-06     0.6216E+02     0.2727E+02     0.1780E+00     0.4387E+00     0.0000E+00     0.2251E+09    -0.8234E+01     0.8906E-07    -0.8268E+01    -0.1001E+02
     0.2798E-06     0.6218E+02     0.2727E+02     0.1780E+00     0.4386E+00     0.0000E+00     0.2222E+09    -0.8230E+01     0.9064E-07    -0.8262E+01    -0.1002E+02
     0.2835E-06     0.6220E+02     0.2727E+02     0.1780E+00     0.4385E+00     0.0000E+00     0.2194E+09    -0.8226E+01     0.9224E-07    -0.8257E+01    -0.1002E+02
     0.2873E-06     0.6222E+02     0.2728E+02     0.1780E+00     0.4384E+00     0.0000E+00     0.2166E+09    -0.8222E+01     0.9388E-07    -0.8251E+01    -0.1003E+02
     0.2911E-06     0.6224E+02     0.2728E+02     0.1780E+00     0.4383E+00     0.0000E+00     0.2138E+09    -0.8218E+01     0.9554E-07    -0.8246E+01    -0.1004E+02
     0.2950E-06     0.6226E+02     0.2729E+02     0.1779E+00     0.4383E+00     0.0000E+00     0.2111E+09    -0.8214E+01     0.9723E-07    -0.8240E+01    -0.1005E+02
     0.2989E-06     0.6228E+02     0.2729E+02     0.1779E+00     0.4382E+00     0.0000E+00     0.2084E+09    -0.8210E+01     0.9896E-07    -0.8235E+01    -0.1005E+02
     0.3028E-06     0.6230E+02     0.2730E+02     0.1779E+00     0.4381E+00     0.0000E+00     0.2057E+09    -0.8206E+01     0.1007E-06    -0.8229E+01    -0.1006E+02
     0.3069E-06     0.6233E+02     0.2730E+02     0.1779E+00     0.4380E+00     0.0000E+00     0.2031E+09    -0.8201E+01     0.1025E-06    -0.8224E+01    -0.1007E+02
     0.3109E-06     0.6235E+02     0.2731E+02     0.1779E+00     0.4380E+00     0.0000E+00     0.2005E+09    -0.8197E+01     0.1043E-06    -0.8218E+01    -0.1008E+02
     0.3151E-06     0.6237E+02     0.2731E+02     0.1779E+00     0.4379E+00     0.0000E+00     0.1980E+09    -0.8193E+01     0.1062E-06    -0.8212E+01    -0.1008E+02
     0.3192E-06     0.6239E+02     0.2731E+02     0.1779E+00     0.4378E+00     0.0000E+00     0.1954E+09    -0.8189E+01     0.1080E-06    -0.8207E+01    -0.1009E+02
     0.3235E-06     0.6241E+02     0.2732E+02     0.1779E+00     0.4377E+00     0.0000E+00     0.1929E+09    -0.8185E+01     0.1099E-06    -0.8201E+01    -0.1010E+02
     0.3278E-06     0.6243E+02     0.2732E+02     0.1779E+00     0.4376E+00     0.0000E+00     0.1905E+09    -0.8181E+01     0.1119E-06    -0.8195E+01    -0.1011E+02
     0.3321E-06     0.6246E+02     0.2733E+02     0.1779E+00     0.4376E+00     0.0000E+00     0.1880E+09    -0.8176E+01     0.1139E-06    -0.8190E+01    -0.1011E+02
     0.3365E-06     0.6248E+02     0.2733E+02     0.1779E+00     0.4375E+00     0.0000E+00     0.1856E+09    -0.8172E+01     0.1159E-06    -0.8184E+01    -0.1012E+02
     0.3410E-06     0.6250E+02     0.2734E+02     0.1779E+00     0.4374E+00     0.0000E+00     0.1833E+09    -0.8168E+01     0.1179E-06    -0.8178E+01    -0.1013E+02
     0.3455E-06     0.6252E+02     0.2734E+02     0.1779E+00     0.4373E+00     0.0000E+00     0.1809E+09    -0.8164E+01     0.1200E-06    -0.8172E+01    -0.1014E+02
     0.3501E-06     0.6254E+02     0.2735E+02     0.1779E+00     0.4372E+00     0.0000E+00     0.1786E+09    -0.8159E+01     0.1221E-06    -0.8167E+01    -0.1015E+02
     0.3548E-06     0.6257E+02     0.2735E+02     0.1779E+00     0.4372E+00     0.0000E+00     0.1764E+09    -0.8155E+01     0.1243E-06    -0.8161E+01    -0.1015E+02
